State,population,area
AL,4661900,135767
AZ,6500180,295234
AR,2855390,137732
CA,36756666,423967
CO,4939456,269601
CT,3501252,14357
DE,873092,6446
DC,591833,177
FL,18328340,170312
GA,9685744,153910
HI,1288198,28313
ID,1523816,216443
IL,12901563,149995
IN,6376792,94326
IA,3002555,145746
KS,2802134,213100
KY,4269245,104656
LA,4410796,135659
ME,1316456,91633
MD,5633597,32131
MA,6497967,27336
MI,10003422,250487
MN,5220393,225163
MS,2938618,125438
MO,5911605,180540
MT,967440,380831
NE,1783432,200330
NV,2600167,286380
NH,1315809,24214
NJ,8682661,22591
NM,1984356,314917
NY,19490297,141297
NC,9222414,139391
ND,641481,183108
OH,11485910,116098
OK,3642361,181037
OR,3790060,254799
PA,12448279,119280
RI,1050788,4001
SC,4479800,82933
SD,804194,199729
TN,6214888,109153
TX,24326974,695662
UT,2736424,219882
VT,621270,24906
VA,7769089,110787
WA,6549224,184661
WV,1814468,62756
WI,5627967,169635
WY,532668,253335
